PC,mean_absolute_coefficient,median_absolute_coefficient,coefficient_l2_norm
PC3,0.39432567528071427,0.1253440675,9.304476394598918
PC10,0.27213986907035714,0.15062565,4.743815211642445
PC11,0.2448229537,0.12417344999999999,4.585721048276397
PC4,0.2171665742588572,0.040366144,5.399181782629487
PC5,0.205112397064,0.068750125,4.415920236212806
PC1,0.18163618726857145,0.0592623025,4.2217222956078455
PC13,0.15002227165785711,0.050690114499999994,3.187996668148644
PC6,0.13585552948035717,0.0823196425,2.5340654403256644
PC2,0.1288899567287857,0.031722041,2.9841786465004625
PC14,0.11876691122957142,0.0630832925,2.29799856181982
PC12,0.114477042921,0.039604161,2.41694788102901
PC8,0.10434418561714287,0.039215647,2.674336253420679
PC16,0.09952245706000001,0.0352960375,2.5786788312056017
PC9,0.09037209112792859,0.023136626,2.378860140635805
PC21,0.0806886314217857,0.0191685335,1.8475190928767655
PC7,0.07854057133321428,0.030174817,1.6087196540373698
PC15,0.07175948137049999,0.0488797355,1.2021339813920238
PC29,0.06554921136057143,0.0321873945,1.2638455496438576
PC27,0.06551315066614287,0.0165476445,1.6065521126765634
PC22,0.05918382356099999,0.016165514,1.4415974904261395
PC23,0.059115277738528565,0.019828666,1.3433007088814042
PC17,0.05732633980385714,0.014333484,1.3135342561865753
PC26,0.05445815668988571,0.0212455305,1.2326394580220208
PC32,0.049075695798642856,0.013524547750000001,1.2418957720980948
PC20,0.04780774099107143,0.0166040175,1.0967966635564086
PC18,0.04633101361335714,0.015503905,1.0043664655123663
PC31,0.04632246753435715,0.0132183555,1.278498577024465
PC19,0.04552989241702143,0.021516464,0.9537608276513236
PC30,0.043504676579,0.015413619,0.929829431198379
PC41,0.04209159409549285,0.015716156000000002,0.9517707362648196
PC24,0.040131253699,0.0142553505,0.9026113305411201
PC25,0.03836223194492857,0.012827489000000001,0.8817166577702148
PC38,0.03709467683364285,0.0141023895,0.8470731800614621
PC34,0.03437164505592857,0.018440323,0.6837545600907349
PC28,0.032460232937185717,0.012971454,0.7151380219969119
PC35,0.03180229826325,0.011903169500000001,0.7577939839218655
PC40,0.030421230539214285,0.01262621175,0.6526472357084884
PC45,0.029688475297142858,0.0089738635,0.6597648777900527
PC33,0.029124658202957145,0.0133174525,0.587557962858122
PC36,0.025930316813142857,0.009700189500000001,0.5547737243404626
PC42,0.02577609626242857,0.0120037305,0.593113662536528
PC39,0.024223292102642856,0.010230660499999999,0.4974243444001485
PC44,0.023790035884932142,0.008619026,0.5702235516633514
PC37,0.02354839686766143,0.010055766,0.504994076954907
PC43,0.022705474176357144,0.008828377,0.4840526626589401
PC46,0.020510128197471427,0.009081691,0.40613524661224554
PC47,0.01772363816177143,0.0079475875,0.36334153743109376
PC49,0.017047555464678565,0.009310156,0.34655606668917155
PC48,0.016699053447214285,0.00797789125,0.33055032100805487
PC50,0.013208077951357141,0.0073846747,0.2572705365875351
